precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,pct_change_vs_previous,trend_class,city_gap_28d,priority_score,priority_signal
09,FAMILY OFFENSE,10,10,0,0.0,No Change,78,68,-10,-12.82,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-6.25,Improving,12.82,15.5,Monitor
04,INVASION OF PRIVACY -OTHER,3,2,-1,-33.33,Decreasing,42,57,15,35.71,2026-07-01,2026-07-28,2026-07-29,2026-08-25,800.0,Worsening,-69.03999999999999,15.3,Monitor
06,INVASION OF PRIVACY -OTHER,3,2,-1,-33.33,Decreasing,42,57,15,35.71,2026-07-01,2026-07-28,2026-07-29,2026-08-25,600.0,Worsening,-69.03999999999999,15.3,Monitor
09,DISORDERLY CONDUCT,4,2,-2,-50.0,Decreasing,23,23,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,257.14285714285717,Worsening,-50.0,15.3,Monitor
10,KIDNAPPING,5,2,-3,-60.0,Decreasing,22,21,-1,-4.55,2026-07-01,2026-07-28,2026-07-29,2026-08-25,100.0,Worsening,-55.45,15.3,Monitor
11,STOLEN VEHICLE,22,18,-4,-18.18,Decreasing,511,481,-30,-5.87,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-22.962962962962962,Consistently Improving,-12.309999999999999,14.3,Monitor
08,SEXUAL ASSAULT,5,5,0,0.0,No Change,46,54,8,17.39,2026-07-01,2026-07-28,2026-07-29,2026-08-25,26.31578947368421,Worsening,-17.39,14.0,Monitor
10,SEX OFFENSES,7,6,-1,-14.29,Decreasing,82,58,-24,-29.27,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-28.26086956521739,Improving,14.98,13.9,Monitor
09,ROBBERY,13,13,0,0.0,No Change,99,96,-3,-3.03,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-1.0416666666666667,Stable,3.03,13.7,Monitor
06,DANGEROUS DRUGS,8,6,-2,-25.0,Decreasing,74,77,3,4.05,2026-07-01,2026-07-28,2026-07-29,2026-08-25,21.428571428571427,Worsening,-29.05,13.7,Monitor
04,ROBBERY,9,8,-1,-11.11,Decreasing,99,96,-3,-3.03,2026-07-01,2026-07-28,2026-07-29,2026-08-25,13.953488372093023,Worsening,-8.08,13.5,Monitor
06,SEX OFFENSES,14,4,-10,-71.43,Decreasing,82,58,-24,-29.27,2026-07-01,2026-07-28,2026-07-29,2026-08-25,28.571428571428573,Worsening,-42.16000000000001,13.5,Monitor
02,HOMICIDE,5,1,-4,-80.0,Decreasing,17,13,-4,-23.53,2026-07-01,2026-07-28,2026-07-29,2026-08-25,100.0,Worsening,-56.47,13.4,Monitor
03,MISCELLANEOUS,1,1,0,0.0,No Change,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Worsening,-16.67,13.4,Monitor
06,HOMICIDE,2,1,-1,-50.0,Decreasing,17,13,-4,-23.53,2026-07-01,2026-07-28,2026-07-29,2026-08-25,116.66666666666667,Worsening,-26.47,13.4,Monitor
06,KIDNAPPING,5,1,-4,-80.0,Decreasing,22,21,-1,-4.55,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Consistently Worsening,-75.45,13.4,Monitor
11,INVASION OF PRIVACY -OTHER,2,1,-1,-50.0,Decreasing,42,57,15,35.71,2026-07-01,2026-07-28,2026-07-29,2026-08-25,2100.0,Worsening,-85.71000000000001,13.4,Monitor
12,HEALTH AND SAFETY,3,1,-2,-66.67,Decreasing,8,12,4,50.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,75.0,Consistently Worsening,-116.67,13.4,Monitor
12,STOLEN PROPERTY,16,14,-2,-12.5,Decreasing,149,136,-13,-8.72,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-27.33812949640288,Improving,-3.7799999999999994,13.2,Monitor
03,DISORDERLY CONDUCT,7,7,0,0.0,No Change,23,23,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,14.925373134328359,Consistently Worsening,0.0,13.1,Monitor
05,RUNAWAY,14,12,-2,-14.29,Decreasing,105,113,8,7.62,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-13.445378151260504,Consistently Improving,-21.91,12.5,Monitor
07,WEAPONS OFFENSES,14,11,-3,-21.43,Decreasing,271,226,-45,-16.61,2026-07-01,2026-07-28,2026-07-29,2026-08-25,1.0309278350515463,Stable,-4.82,12.3,Monitor
07,ARSON,0,2,2,,Increasing,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-21.05263157894737,Consistently Improving,,12.3,Monitor
07,MISCELLANEOUS,0,2,2,,Increasing,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-28.571428571428573,Improving,,12.3,Monitor
08,OUIL,0,2,2,,Increasing,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-61.53846153846154,Improving,,12.3,Monitor
10,MISCELLANEOUS,0,2,2,,Increasing,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-40.0,Improving,,12.3,Monitor
10,FORGERY,2,1,-1,-50.0,Decreasing,6,9,3,50.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,44.44444444444444,Consistently Worsening,-100.0,12.3,Monitor
03,OUIL,10,10,0,0.0,No Change,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-2.0833333333333335,Improving,0.0,11.6,Monitor
11,OUIL,10,10,0,0.0,No Change,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-25.714285714285715,Improving,0.0,11.6,Monitor
11,ROBBERY,9,7,-2,-22.22,Decreasing,99,96,-3,-3.03,2026-07-01,2026-07-28,2026-07-29,2026-08-25,6.779661016949152,Worsening,-19.189999999999998,11.5,Monitor
08,KIDNAPPING,4,2,-2,-50.0,Decreasing,22,21,-1,-4.55,2026-07-01,2026-07-28,2026-07-29,2026-08-25,30.76923076923077,Consistently Worsening,-45.45,11.5,Monitor
07,OBSTRUCTING THE POLICE,12,9,-3,-25.0,Decreasing,187,147,-40,-21.39,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-19.48051948051948,Improving,-3.6099999999999994,11.2,Monitor
12,DANGEROUS DRUGS,6,5,-1,-16.67,Decreasing,74,77,3,4.05,2026-07-01,2026-07-28,2026-07-29,2026-08-25,9.75609756097561,Consistently Worsening,-20.720000000000002,10.7,Monitor
