period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,00:00-05:59,221,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,06:00-11:59,196,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,12:00-17:59,273,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,18:00-23:59,335,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,00:00-05:59,212,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,06:00-11:59,205,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,12:00-17:59,297,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,18:00-23:59,314,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,00:00-05:59,321,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,06:00-11:59,216,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,12:00-17:59,261,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,18:00-23:59,309,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,00:00-05:59,340,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,06:00-11:59,219,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,12:00-17:59,303,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,18:00-23:59,344,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,00:00-05:59,251,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,06:00-11:59,188,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,12:00-17:59,238,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,18:00-23:59,330,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,00:00-05:59,210,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,06:00-11:59,197,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,12:00-17:59,262,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,18:00-23:59,347,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,00:00-05:59,199,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,06:00-11:59,184,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,12:00-17:59,227,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,18:00-23:59,282,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,00:00-05:59,21,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,06:00-11:59,7,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,12:00-17:59,23,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,18:00-23:59,30,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,00:00-05:59,17,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,06:00-11:59,4,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,12:00-17:59,35,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,18:00-23:59,36,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,00:00-05:59,13,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,06:00-11:59,11,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,12:00-17:59,18,ALL
