focus_rank,h3_cell,incident_count,latitude,longitude,mean_spike_z,neighborhood,police_precinct,nearest_intersection,dominant_offense,dominant_offense_count,dominant_offense_share,score
98,892ab2ce68bffff,241,42.4095098050266,-83.17185596846655,0.603255096696216,Harmony Village,12,Puritan St & Steel St,LARCENY,102,0.42323651452282157,0.21956300651458763
99,892ab2d5b2fffff,256,42.4350831592613,-82.97768645045474,0.46358235861113933,Franklin,09,Gratiot Ave & E 7 Mile Rd,ASSAULT,32,0.125,0.21944292180822597
100,892ab2c402fffff,23,42.3566104328282,-82.9920206565145,2.600971517732107,Indian Village,07,Agnes St & Iroquois St,LARCENY,12,0.5217391304347826,0.21880387985250085
101,892ab2cf597ffff,202,42.4088344091447,-83.1940968807189,0.925266081761585,Belmont,02,Pilgrim St & Coyle St,ASSAULT,46,0.22772277227722773,0.216675112492267
102,892ab2c7187ffff,225,42.4085834761448,-82.9950846370677,0.7097662080606648,Gratiot-Findlay,09,Gunston St & Gratiot Ave,ASSAULT,51,0.22666666666666666,0.21638713297467727
103,892ab2ce253ffff,141,42.3893613835394,-83.1981862698424,1.45977769581748,Cadillac Community,02,Greenfield Rd & Birch St,DAMAGE TO PROPERTY,23,0.16312056737588654,0.21455822066401545
104,892ab2c5023ffff,204,42.3691264373985,-83.0725756228081,0.8751739388605749,Milwaukee Junction,03,Woodward Ave & E Milwaukee St,ASSAULT,49,0.24019607843137256,0.21421113524432617
105,892ab2c58dbffff,255,42.33257905128124,-83.0538018188063,0.40301840165658526,Downtown,03,State St & 1st St,LARCENY,74,0.2901960784313726,0.21401535040220893
106,892ab2c588bffff,258,42.32886655893455,-83.04448923251934,0.37114437284961627,Downtown,03,E Jefferson Ave & Woodward Ave,ASSAULT,56,0.21705426356589147,0.2136848832475647
107,892ab2cc68fffff,257,42.3649804254039,-83.2214894615411,0.36405794148400783,Franklin Park,06,Faust Ave & W Chicago St,ASSAULT,75,0.2918287937743191,0.2124173010221344
108,892ab2cab0fffff,234,42.4288935372432,-83.27904117833145,0.5703001414616019,Five Points,08,Woodbine St & W 7 Mile Rd,ASSAULT,53,0.2264957264957265,0.21198513086745882
109,892ab2cc0d3ffff,160,42.35430968927313,-83.2091046377782,1.2417812568273467,Garden View,06,Grandmont Ave & Constance Ave,ASSAULT,30,0.1875,0.2112107051051373
110,892ab2c5067ffff,88,42.3680926316265,-83.0791731606186,1.9035436229211113,New Center,03,W Grand Blvd & 3rd St,LARCENY,24,0.2727272727272727,0.2111129275974702
111,892ab2c5e8fffff,225,42.3436314563571,-83.0599108960759,0.6313473792587199,Midtown,03,Peterboro St & 2nd Ave,LARCENY,67,0.29777777777777775,0.2102869726591481
112,892ab2ce6c3ffff,235,42.4118076305669,-83.1795789756751,0.5317659534963411,Harmony Village,02,Florence St & Schaefer Hwy,ASSAULT,69,0.2936170212765957,0.20970390860468524
113,892ab2ce58fffff,246,42.3942925025788,-83.1191281603438,0.4206218740578189,Oakman Blvd Community,10,Indiandale St & W Davison St,FRAUD,56,0.22764227642276422,0.2089377240524592
114,892ab2c66a3ffff,254,42.426114386444,-82.9499411616721,0.34561212302656713,Moross-Morang,09,Morang Dr & Rossiter St,ASSAULT,52,0.2047244094488189,0.20883341316720436
115,892ab2c5c63ffff,212,42.3373403359428,-83.0446629277057,0.7257643876795077,Downtown,03,Madison St & Brush St,LARCENY,62,0.29245283018867924,0.20831930221303863
116,892ab2d5b7bffff,162,42.4404554785316,-82.9926050027074,1.1762757955850365,Pulaski,09,Fairport St & Manning St,ASSAULT,38,0.2345679012345679,0.20754773375957117
117,892ab2c5337ffff,158,42.3499360906937,-83.0774715488627,1.212516160758016,Woodbridge,03,W Forest Ave & Trumbull St,ASSAULT,33,0.2088607594936709,0.2075015235937263
118,892ab2ce517ffff,266,42.39239372340363,-83.1215949269985,0.2164573047433587,Dexter-Linwood,10,Linwood St & W Davison St,FRAUD,73,0.2744360902255639,0.2073825148920008
119,892ab2c5c5bffff,181,42.3469945447206,-83.0506040537605,0.979128173304684,Brush Park,03,Watson St & Brush St,LARCENY,65,0.35911602209944754,0.20582203691772533
120,892ab2ce65bffff,197,42.4090290640969,-83.1903094537909,0.8181776449384311,Hubbell-Puritan,02,Puritan St & Hubbell St,ASSAULT,55,0.27918781725888325,0.20476309623930966
121,892ab2cab1bffff,175,42.4361457495439,-83.278590078579,1.0142365588073088,Five Points,08,Pembroke Ave & Telegraph Rd,FRAUD,40,0.22857142857142856,0.20425510587972018
122,892ab2ce04bffff,100,42.3882289797545,-83.1710223087447,1.6983351600478998,Happy Homes,02,Appoline St & Schoolcraft St,ASSAULT,22,0.22,0.20374585546877763
123,892ab2c42a3ffff,52,42.3617892760127,-83.01246918895541,2.120775349549554,Islandview,07,Goethe Ave & E Grand Blvd,ASSAULT,15,0.28846153846153844,0.20222330614567482
124,892ab2cc01bffff,230,42.3458183863618,-83.212710373966,0.48024778850433203,Warren Ave Community,06,Rutland St & Majestic St,ASSAULT,61,0.26521739130434785,0.2021146751849639
125,892ab2c4477ffff,60,42.3806249944773,-82.9876364836867,2.045540440657346,East Canfield,05,French Rd & E Canfield St,ASSAULT,10,0.16666666666666666,0.2021014803463475
126,892ab2cebb3ffff,237,42.3145125129767,-83.1256540155737,0.4096319911110865,Springwells,04,Pitt St & Central St,ASSAULT,73,0.3080168776371308,0.2016358353125887
127,892ab2c081bffff,26,42.4342419802444,-83.10627766435495,2.3397915859991887,Penrose,12,Penrose St & Danbury St,ASSAULT,6,0.23076923076923078,0.2006358245762809
128,892ab2ca933ffff,224,42.4295583345766,-83.2407568910825,0.5117563147949199,Evergreen Lahser 7/8,08,Kentfield St & W 7 Mile Rd,LARCENY,33,0.14732142857142858,0.20026771295238147
129,892ab2cc5c7ffff,183,42.3536888078032,-83.1772776946831,0.8839771576536087,Joy-Schaefer,02,Belton St & Schaefer Hwy,ASSAULT,59,0.3224043715846995,0.1998529531588644
130,892ab2ce49bffff,199,42.4171531509341,-83.1408402179552,0.7331913136122563,University District,12,W McNichols Rd & Livernois Ave,ASSAULT,43,0.21608040201005024,0.19958471804040095
131,892ab2cc43bffff,197,42.3581573892756,-83.1959057596445,0.7431264516153768,We Care Community,02,Prest St & Joy Rd,ASSAULT,45,0.22842639593908629,0.19892490255372575
132,892ab2c184bffff,222,42.4439467189446,-83.2011474422937,0.49591897626321174,Schaefer 7/8 Lodge,12,Motor Dr & N M 10,ASSAULT,55,0.24774774774774774,0.1976030697860206
133,892ab2c758fffff,235,42.4268274241563,-82.9860458151414,0.3761814188576524,Franklin,09,Pelkey St & E McNichols Rd,ASSAULT,45,0.19148936170212766,0.19760106776387099
134,892ab2c5c87ffff,213,42.3471242369743,-83.02647867706486,0.5730847403795444,Elmwood Park,07,Prince Hall Dr & Chene St,LARCENY,58,0.27230046948356806,0.19715876344083347
135,892ab2ce023ffff,187,42.38089917658435,-83.1516693330157,0.7933254861024615,Littlefield Community,02,Fullerton St & Roselawn St,ASSAULT,38,0.20320855614973263,0.1956665358173221
136,892ab2cc6dbffff,181,42.3719120810853,-83.2350273305592,0.848247001163392,Weatherby,06,Plymouth Rd & Plainview Ave,FRAUD,46,0.2541436464088398,0.19564085792609967
137,892ab2c4043ffff,113,42.3673720540776,-83.00512335074473,1.4739631728168772,Gratiot-Grand,07,Van Dyke St & Mack Ave,DAMAGE TO PROPERTY,14,0.12389380530973451,0.1956043950255979
138,892ab2c8d8bffff,112,42.4167655083308,-83.2837217006448,1.4799536117815095,The Eye,08,Fenton St & Santa Maria St,ASSAULT,26,0.23214285714285715,0.1953540558100234
139,892ab2c1d7bffff,110,42.4408727564128,-83.16457250814507,1.4888445362927847,Pembroke,12,Ilene St & Chippewa St,LARCENY,24,0.21818181818181817,0.19461301149347138
140,892ab2cf097ffff,186,42.40348686246293,-83.22514401479962,0.7889378669876022,Rosedale Park,08,Grand River Ave & Glastonbury Ave,FRAUD,68,0.3655913978494624,0.1946088928072895
141,892ab2c5eb7ffff,215,42.3376744078901,-83.05134286793893,0.515649701110346,Downtown,03,W Elizabeth St & Woodward Ave,LARCENY,61,0.2837209302325581,0.19412358606518612
142,892ab2c1da7ffff,103,42.4413524503916,-83.1418629986631,1.545414495648621,Green Acres,12,Livernois Ave & Chippewa St,LARCENY,26,0.2524271844660194,0.19399923285696072
143,892ab2c5e93ffff,188,42.3485431554642,-83.05642557551545,0.7503850006441614,Midtown,03,Parsons St & Woodward Ave,LARCENY,64,0.3404255319148936,0.1930425499413181
144,892ab2c63cfffff,129,42.3954554938188,-82.95883736028489,1.2919240262911997,Chandler Park-Chalmers,05,Marlborough St & E Warren Ave,ASSAULT,26,0.20155038759689922,0.19290498159885325
145,892ab2cc67bffff,190,42.3575569236142,-83.2371449248209,0.7298575864034246,Franklin Park,06,Evergreen Rd & Joy Rd,ASSAULT,49,0.2578947368421053,0.19287839771331317
146,892ab2c5e13ffff,185,42.344202289561686,-83.0651962666935,0.7708303414660492,Midtown,03,Martin Luther King Jr Blvd & 3rd St,ASSAULT,57,0.3081081081081081,0.1924839853421059
147,892ab2c5e8bffff,211,42.3461585812171,-83.0629556758828,0.5230390720389767,Midtown,03,Brainard St & 2nd Ave,LARCENY,52,0.24644549763033174,0.19183307191212623
148,892ab2c6adbffff,195,42.3635410343221,-82.9502508430899,0.6683568067730578,Jefferson Chalmers,05,Continental St & Essex Ave,ASSAULT,49,0.2512820512820513,0.19167594562304507
149,892ab2ce223ffff,60,42.376961501361095,-83.1824864720439,1.9086804912836004,Paveway,02,Shirley Ave & Capitol St,DAMAGE TO PROPERTY,12,0.2,0.19145521535221452
