period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,02,Crime Type,ROBBERY,68,Monday,15,23,9,Night Shift (22:00-05:59),33,00:00-05:59,21,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,RUNAWAY,72,Friday,15,22,9,Evening Shift (14:00-21:59),26,18:00-23:59,32,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,SEX OFFENSES,47,Friday,20,22,12,Evening Shift (14:00-21:59),23,18:00-23:59,31,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,SEXUAL ASSAULT,37,Tuesday,9,9,5,Day Shift (06:00-13:59),14,06:00-11:59,13,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,SOLICITATION,4,Wednesday,4,15,4,Evening Shift (14:00-21:59),4,12:00-17:59,4,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,STOLEN PROPERTY,144,Monday,24,14,15,Evening Shift (14:00-21:59),71,12:00-17:59,62,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,STOLEN VEHICLE,337,Wednesday,58,22,37,Evening Shift (14:00-21:59),144,18:00-23:59,149,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,WEAPONS OFFENSES,290,Thursday,49,23,43,Night Shift (22:00-05:59),145,18:00-23:59,173,2026-01-01,2026-09-15,ALL
YTD,02,Category Focus,Gun-Related,290,Thursday,49,23,43,Night Shift (22:00-05:59),145,18:00-23:59,173,2026-01-01,2026-09-15,ALL
YTD,02,Category Focus,Property Crime,2212,Sunday,331,18,134,Evening Shift (14:00-21:59),940,12:00-17:59,697,2026-01-01,2026-09-15,ALL
YTD,02,Category Focus,Larceny,635,Saturday,102,15,46,Evening Shift (14:00-21:59),278,12:00-17:59,224,2026-01-01,2026-09-15,ALL
YTD,03,All,All,7402,Sunday,1194,22,463,Evening Shift (14:00-21:59),3087,18:00-23:59,2565,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,AGGRAVATED ASSAULT,452,Sunday,78,0,32,Night Shift (22:00-05:59),180,18:00-23:59,146,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,ARSON,18,Thursday,5,6,4,Day Shift (06:00-13:59),11,06:00-11:59,10,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,ASSAULT,1487,Saturday,246,0,96,Evening Shift (14:00-21:59),564,18:00-23:59,486,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,BURGLARY,275,Tuesday,49,15,18,Evening Shift (14:00-21:59),105,12:00-17:59,81,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,DAMAGE TO PROPERTY,970,Saturday,180,22,72,Evening Shift (14:00-21:59),374,18:00-23:59,349,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,DANGEROUS DRUGS,68,Monday,13,16,10,Evening Shift (14:00-21:59),41,12:00-17:59,26,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,DISORDERLY CONDUCT,84,Monday,21,19,11,Evening Shift (14:00-21:59),37,18:00-23:59,32,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,EXTORTION,19,Monday,5,0,4,Evening Shift (14:00-21:59),9,18:00-23:59,9,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,FAMILY OFFENSE,56,Monday,13,12,6,Evening Shift (14:00-21:59),26,12:00-17:59,20,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,FORGERY,13,Friday,4,8,2,Evening Shift (14:00-21:59),7,12:00-17:59,5,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,FRAUD,715,Monday,116,12,84,Evening Shift (14:00-21:59),314,12:00-17:59,314,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,GAMBLING,2,Monday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,HEALTH AND SAFETY,12,Saturday,4,12,2,Evening Shift (14:00-21:59),6,12:00-17:59,5,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,HOMICIDE,5,Thursday,1,22,1,Night Shift (22:00-05:59),2,18:00-23:59,2,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,INVASION OF PRIVACY -OTHER,178,Wednesday,33,0,16,Night Shift (22:00-05:59),71,18:00-23:59,62,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,KIDNAPPING,10,Thursday,4,23,2,Night Shift (22:00-05:59),6,00:00-05:59,4,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,LARCENY,1749,Sunday,294,22,123,Evening Shift (14:00-21:59),806,18:00-23:59,672,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,LIQUOR,9,Wednesday,4,21,4,Evening Shift (14:00-21:59),6,18:00-23:59,7,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,MISCELLANEOUS,10,Sunday,2,20,2,Evening Shift (14:00-21:59),5,12:00-17:59,5,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,OBSTRUCTING JUDICIARY,73,Thursday,14,8,9,Evening Shift (14:00-21:59),32,06:00-11:59,23,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,OBSTRUCTING THE POLICE,207,Monday,40,1,21,Night Shift (22:00-05:59),101,18:00-23:59,89,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,OUIL,100,Sunday,22,16,14,Evening Shift (14:00-21:59),50,18:00-23:59,36,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,ROBBERY,96,Saturday,18,22,8,Night Shift (22:00-05:59),43,00:00-05:59,32,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,RUNAWAY,36,Thursday,7,22,4,Night Shift (22:00-05:59),14,12:00-17:59,13,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,SEX OFFENSES,69,Friday,15,10,6,Evening Shift (14:00-21:59),31,06:00-11:59,20,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,SEXUAL ASSAULT,60,Monday,13,0,7,Night Shift (22:00-05:59),31,00:00-05:59,21,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,STOLEN PROPERTY,57,Sunday,11,14,7,Evening Shift (14:00-21:59),24,12:00-17:59,22,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,STOLEN VEHICLE,421,Sunday,73,22,42,Evening Shift (14:00-21:59),191,18:00-23:59,195,2026-01-01,2026-09-15,ALL
YTD,03,Crime Type,WEAPONS OFFENSES,151,Saturday,33,23,14,Evening Shift (14:00-21:59),65,18:00-23:59,65,2026-01-01,2026-09-15,ALL
YTD,03,Category Focus,Gun-Related,151,Saturday,33,23,14,Evening Shift (14:00-21:59),65,18:00-23:59,65,2026-01-01,2026-09-15,ALL
YTD,03,Category Focus,Property Crime,3472,Sunday,577,22,253,Evening Shift (14:00-21:59),1500,18:00-23:59,1298,2026-01-01,2026-09-15,ALL
YTD,03,Category Focus,Larceny,1749,Sunday,294,22,123,Evening Shift (14:00-21:59),806,18:00-23:59,672,2026-01-01,2026-09-15,ALL
YTD,04,All,All,2797,Saturday,422,12,187,Evening Shift (14:00-21:59),1188,18:00-23:59,918,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,AGGRAVATED ASSAULT,266,Sunday,55,20,23,Evening Shift (14:00-21:59),118,18:00-23:59,95,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,ARSON,12,Sunday,5,10,2,Night Shift (22:00-05:59),6,00:00-05:59,5,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,ASSAULT,608,Sunday,109,18,46,Evening Shift (14:00-21:59),254,18:00-23:59,197,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,BURGLARY,119,Friday,21,0,11,Night Shift (22:00-05:59),43,12:00-17:59,32,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,DAMAGE TO PROPERTY,328,Monday,56,12,24,Evening Shift (14:00-21:59),127,18:00-23:59,100,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,DANGEROUS DRUGS,110,Wednesday,26,0,14,Night Shift (22:00-05:59),44,00:00-05:59,41,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,DISORDERLY CONDUCT,4,Tuesday,2,19,1,Evening Shift (14:00-21:59),4,18:00-23:59,3,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,EXTORTION,10,Wednesday,4,9,2,Day Shift (06:00-13:59),6,06:00-11:59,5,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,FAMILY OFFENSE,22,Saturday,4,21,3,Evening Shift (14:00-21:59),13,18:00-23:59,9,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,FORGERY,6,Thursday,2,1,1,Day Shift (06:00-13:59),4,06:00-11:59,3,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,FRAUD,265,Tuesday,54,12,42,Evening Shift (14:00-21:59),128,12:00-17:59,142,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,HEALTH AND SAFETY,1,Sunday,1,23,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,HOMICIDE,5,Wednesday,2,0,1,Evening Shift (14:00-21:59),3,12:00-17:59,3,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,INVASION OF PRIVACY -OTHER,9,Thursday,3,12,4,Day Shift (06:00-13:59),7,12:00-17:59,6,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,KIDNAPPING,6,Monday,3,23,2,Night Shift (22:00-05:59),3,12:00-17:59,3,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,LARCENY,411,Tuesday,77,12,34,Evening Shift (14:00-21:59),177,12:00-17:59,138,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,LIQUOR,3,Friday,2,23,1,Night Shift (22:00-05:59),2,18:00-23:59,2,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,MISCELLANEOUS,3,Thursday,2,6,2,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,OBSTRUCTING JUDICIARY,67,Thursday,14,11,6,Evening Shift (14:00-21:59),32,12:00-17:59,25,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,OBSTRUCTING THE POLICE,74,Saturday,18,22,14,Night Shift (22:00-05:59),38,18:00-23:59,33,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,OUIL,18,Monday,8,22,4,Night Shift (22:00-05:59),8,12:00-17:59,6,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,ROBBERY,53,Monday,11,21,6,Evening Shift (14:00-21:59),23,18:00-23:59,23,2026-01-01,2026-09-15,ALL
